Menu_name,URL,Ingredients
pork_beans_Frice,https://www.bilibili.com/video/BV1dMtZzgE7z/?spm_id_from=333.1387.homepage.video_card.click&vd_source=8dd4c7df8ef982b9692996a9745ba48c,"grounded_pork,green_beans"
Lunch_Meat_Kimchi_Potato_Sweet_Potato_Noodles,https://www.bilibili.com/video/BV1t13gzQEJz/?spm_id_from=333.1387.homepage.video_card.click&vd_source=...,"lunch_meat,kimchi,potato,sweet_potato_noodles"
Boiled_Noodles,https://www.bilibili.com/video/BV1CNKTz9ELo/?spm_id_from=333.1387.homepage.video_card.click&vd_source=...,"noodles,water"
Tomato_Fried_Egg_Stewed_Noodles,https://www.bilibili.com/video/BV1uxJhzvEKm/?spm_id_from=333.1387.homepage.video_card.click&vd_source=...,"tomato,egg,noodles"
Noodles,https://www.bilibili.com/video/BV1ZP5EzYEWC/?spm_id_from=333.1387.upload.video_card.click&vd_source=...,noodles
Tomato_Curry_Noodles_10min_Dinner,https://www.bilibili.com/video/BV1stPJecEpS/?spm_id_from=333.1387.upload.video_card.click,"tomato,curry,noodles (Bilibili)"
Spam_Mixed_Rice_8min_Dinner,https://www.bilibili.com/video/BV1v696YjEWn/?spm_id_from=333.1387.upload.video_card.click,"spam,rice"
Green_Pepper_Shredded_Pork_Stewed_Noodles_15min_Dinner,https://www.bilibili.com/video/BV1hSw5eXEKi/?spm_id_from=333.1387.upload.video_card.click,"green_pepper,grounded_pork,noodles"
Egg_Tofu_Vegetable_Noodles_11min_Dinner,https://www.bilibili.com/video/BV1iyyrYFEDb/?spm_id_from=333.1387.upload.video_card.click,"egg,tofu,vegetables,noodles"Tomato_Stir-fry_with_Egg,https://www.xiaohongshu.com/explore/654876ea000000001f03886b,"tomato,egg,scallion,garlic,sugar,salt,light_soy_sauce,cooking_oil"
Coca-Cola_Chicken_Wings,https://www.bilibili.com/video/BV1at4y1q7Yf,"chicken_wings,coca_cola,ginger,scallion,cooking_wine,light_soy_sauce,dark_soy_sauce,salt"
Garlic_Broccoli,https://www.xiaohongshu.com/explore/64506c83000000001303258c,"broccoli,garlic,oyster_sauce,salt,cornstarch,cooking_oil"
Mapo_Tofu,https://www.bilibili.com/video/BV1v7411H7v8,"silken_tofu,minced_pork,doubanjiang,chili_powder,sichuan_peppercorn,garlic,ginger,scallion,soy_sauce,cornstarch"
Scallion_Oil_Noodles,https://www.xiaohongshu.com/explore/63ef0f96000000001301275d,"wheat_noodles,scallion,light_soy_sauce,dark_soy_sauce,sugar,cooking_oil"
Stir-fried_Pork_with_Peppers,https://www.bilibili.com/video/BV1pE411G7m4,"pork_belly,long_green_pepper,garlic,ginger,tempeh,light_soy_sauce,oyster_sauce,salt"
Braised_Eggplant,https://www.xiaohongshu.com/explore/64756c2d0000000012013a5a,"eggplant,potato,green_pepper,garlic,soy_sauce,sugar,vinegar,cornstarch,cooking_oil"
